hold,feature_set,fold,model_kind,threshold_bps,train_candidates,calibration_candidates,test_candidates,selected_trades,selected_expectancy_bps,selected_win_rate,portfolio_return,max_drawdown,test_mae_bps,test_r2,gap_stop_count,symbol_counts
2_sessions,baseline,3,ridge,15.0,1373,344,365,23,145.39171274939224,0.6956521739130435,0.38796927936299674,0.021145186810369736,126.6600784190698,-0.029551960651893916,2,"{""TSLA"": 14, ""AAPL"": 7, ""MSFT"": 2}"
2_sessions,baseline,4,ridge,15.0,1665,417,364,121,67.96616851030923,0.5619834710743802,1.2399976794678031,0.046554082090663064,112.62857050714078,0.07461227727261865,4,"{""TSLA"": 43, ""MSFT"": 41, ""AAPL"": 37}"
2_sessions,baseline,1,tree,5.0,784,197,364,158,17.90782598262538,0.3924050632911392,0.2959103493776165,0.10296808394729336,139.21978397851356,-0.04122718791018687,8,"{""MSFT"": 58, ""AAPL"": 53, ""TSLA"": 47}"
2_sessions,baseline,2,tree,5.0,1076,269,372,152,6.264309421530035,0.3157894736842105,0.06774353899462615,0.2213777965008515,167.33079687155043,-0.004055132579238618,2,"{""MSFT"": 61, ""AAPL"": 49, ""TSLA"": 42}"
2_sessions,baseline,3,tree,5.0,1373,344,365,157,15.750088981736242,0.37579617834394907,0.25782466463565656,0.08099597509490264,130.3356428091864,-0.06649424134690629,8,"{""AAPL"": 58, ""MSFT"": 57, ""TSLA"": 42}"
2_sessions,baseline,4,tree,5.0,1665,417,364,144,47.590497924010734,0.5486111111111112,0.9535513369488895,0.05355061125743397,116.93313440570377,0.022430355959737414,2,"{""AAPL"": 53, ""MSFT"": 46, ""TSLA"": 45}"
2_sessions,baseline,1,tree,10.0,784,197,364,151,19.347464124357554,0.3973509933774834,0.3099937444630021,0.10109824571291046,139.21978397851356,-0.04122718791018687,7,"{""MSFT"": 53, ""AAPL"": 52, ""TSLA"": 46}"
2_sessions,baseline,2,tree,10.0,1076,269,372,139,13.289205890870365,0.34532374100719426,0.16834346677969259,0.2222701124969104,167.33079687155043,-0.004055132579238618,2,"{""MSFT"": 55, ""TSLA"": 42, ""AAPL"": 42}"
2_sessions,baseline,3,tree,10.0,1373,344,365,83,4.316725837135393,0.30120481927710846,0.026466447173857377,0.11197569662389861,130.3356428091864,-0.06649424134690629,2,"{""TSLA"": 33, ""MSFT"": 29, ""AAPL"": 21}"
2_sessions,baseline,4,tree,10.0,1665,417,364,140,41.2678591655773,0.5357142857142857,0.7568536530229817,0.053550611257433774,116.93313440570377,0.022430355959737414,2,"{""AAPL"": 51, ""MSFT"": 47, ""TSLA"": 42}"
2_sessions,baseline,1,tree,15.0,784,197,364,146,19.467559635588128,0.410958904109589,0.3006206324602829,0.09363531389698072,139.21978397851356,-0.04122718791018687,7,"{""MSFT"": 52, ""AAPL"": 50, ""TSLA"": 44}"
2_sessions,baseline,2,tree,15.0,1076,269,372,126,0.7906764218214395,0.31746031746031744,-0.016406777863211208,0.2725999747909575,167.33079687155043,-0.004055132579238618,2,"{""MSFT"": 50, ""TSLA"": 39, ""AAPL"": 37}"
2_sessions,baseline,3,tree,15.0,1373,344,365,10,30.952887454139933,0.4,0.030064683836239503,0.0420367740144,130.3356428091864,-0.06649424134690629,1,"{""TSLA"": 9, ""AAPL"": 1}"
2_sessions,baseline,4,tree,15.0,1665,417,364,136,40.55742137464922,0.5220588235294118,0.7119911935477523,0.05355061125743387,116.93313440570377,0.022430355959737414,2,"{""AAPL"": 49, ""MSFT"": 46, ""TSLA"": 41}"
2_sessions,geometry,1,ridge,5.0,784,197,364,172,27.512931076777694,0.4186046511627907,0.5628424176540996,0.09796543910447933,137.12615605016472,-0.004209127802213386,6,"{""MSFT"": 61, ""TSLA"": 56, ""AAPL"": 55}"
2_sessions,geometry,2,ridge,5.0,1076,269,372,145,12.23793742266374,0.3448275862068966,0.1549643932423337,0.20110873852455624,172.03969133510677,-0.03694260980684794,1,"{""TSLA"": 51, ""MSFT"": 48, ""AAPL"": 46}"
2_sessions,geometry,3,ridge,5.0,1373,344,365,110,80.41259896842051,0.5636363636363636,1.3726109981972363,0.07099860736314391,125.78003161074696,-0.008163870144742846,3,"{""TSLA"": 40, ""AAPL"": 37, ""MSFT"": 33}"
2_sessions,geometry,4,ridge,5.0,1665,417,364,147,59.63186740708033,0.54421768707483,1.3580580630013945,0.054935437026539115,112.10225046448741,0.08743601411977986,5,"{""TSLA"": 55, ""MSFT"": 47, ""AAPL"": 45}"
2_sessions,geometry,1,ridge,10.0,784,197,364,172,27.512931076777694,0.4186046511627907,0.5628424176540996,0.09796543910447933,137.12615605016472,-0.004209127802213386,6,"{""MSFT"": 61, ""TSLA"": 56, ""AAPL"": 55}"
2_sessions,geometry,2,ridge,10.0,1076,269,372,134,9.543970890763989,0.3358208955223881,0.1007842523531659,0.18607953679371905,172.03969133510677,-0.03694260980684794,1,"{""TSLA"": 50, ""AAPL"": 43, ""MSFT"": 41}"
2_sessions,geometry,3,ridge,10.0,1373,344,365,81,95.98007350171916,0.6296296296296297,1.1454253716466511,0.025983551439597456,125.78003161074696,-0.008163870144742846,4,"{""TSLA"": 29, ""AAPL"": 27, ""MSFT"": 25}"
2_sessions,geometry,4,ridge,10.0,1665,417,364,140,63.001805317091005,0.5642857142857143,1.3721333197127623,0.054935437026539115,112.10225046448741,0.08743601411977986,4,"{""TSLA"": 54, ""MSFT"": 46, ""AAPL"": 40}"
2_sessions,geometry,1,ridge,15.0,784,197,364,171,28.43607491269917,0.42105263157894735,0.5834344807860017,0.08894518900989826,137.12615605016472,-0.004209127802213386,6,"{""MSFT"": 60, ""TSLA"": 56, ""AAPL"": 55}"
2_sessions,geometry,2,ridge,15.0,1076,269,372,126,7.470371365505359,0.3253968253968254,0.06550577479256403,0.1902206119050766,172.03969133510677,-0.03694260980684794,1,"{""TSLA"": 49, ""AAPL"": 40, ""MSFT"": 37}"
2_sessions,geometry,3,ridge,15.0,1373,344,365,58,115.85436583285917,0.6724137931034483,0.9346161566074953,0.02434374116217529,125.78003161074696,-0.008163870144742846,3,"{""TSLA"": 22, ""AAPL"": 21, ""MSFT"": 15}"
2_sessions,geometry,4,ridge,15.0,1665,417,364,129,68.99542898890456,0.5813953488372093,1.3926062588371728,0.04530324040470711,112.10225046448741,0.08743601411977986,4,"{""TSLA"": 51, ""MSFT"": 42, ""AAPL"": 36}"
2_sessions,geometry,1,tree,5.0,784,197,364,155,17.26394544656737,0.4,0.27755591164288873,0.1030795515347841,139.70949774991576,-0.06163698834521236,6,"{""MSFT"": 59, ""AAPL"": 51, ""TSLA"": 45}"
2_sessions,geometry,2,tree,5.0,1076,269,372,165,6.881845661289664,0.3151515151515151,0.08416822333913987,0.24486559717052972,167.250098369661,-0.002551048085161378,2,"{""MSFT"": 62, ""TSLA"": 52, ""AAPL"": 51}"
2_sessions,geometry,3,tree,5.0,1373,344,365,171,32.61661045589153,0.40350877192982454,0.7054247718999296,0.08460747771562133,129.07568659189542,-0.04706854062501997,8,"{""TSLA"": 58, ""AAPL"": 58, ""MSFT"": 55}"
2_sessions,geometry,4,tree,5.0,1665,417,364,139,54.299544991838694,0.5683453237410072,1.0817872795353227,0.10351454280522099,113.75254862585818,0.05042970622533194,4,"{""TSLA"": 48, ""MSFT"": 47, ""AAPL"": 44}"
2_sessions,geometry,1,tree,10.0,784,197,364,147,15.652300530791775,0.3945578231292517,0.23128695421750067,0.10407907576477822,139.70949774991576,-0.06163698834521236,6,"{""MSFT"": 52, ""AAPL"": 50, ""TSLA"": 45}"
